name,value,year,rank
Microsoft,58868.7999999998,2012.6,5
Microsoft,58858.0,2007.5,2
Microsoft,58840.1999999999,2011.2,3
IBM,58836.9000000002,2007.9,3
Microsoft,58828.2,2007.4,2
Microsoft,58798.4,2007.3,2
Samsung,58797.7000000002,2017.7,6
IBM,58797.5,2015.5,5
Microsoft,58771.0000000002,2008.1,3
Microsoft,58771.0,2009.5,3
Microsoft,58768.6,2007.2,2
Microsoft,58738.8,2007.1,2
Microsoft,58734.9999999997,2005.4,2
Microsoft,58716.8000000001,2011.3,4
Microsoft,58709.0,2007.0,2
Microsoft,58699.5,2012.5,5
IBM,58642.7999999999,2007.8,3
Microsoft,58593.3999999999,2011.4,4
Microsoft,58534.9999999999,2008.2,3
Microsoft,58530.7000000002,2006.9,2
Microsoft,58530.2000000002,2012.4,5
Microsoft,58470.0,2011.5,4
IBM,58448.7000000001,2007.7,3
Samsung,58433.5999999997,2017.6,6
Microsoft,58433.5,2005.5,2
Microsoft,58360.8999999999,2012.3,5
Microsoft,58352.3999999999,2006.8,2
Microsoft,58346.6000000001,2011.6,5
Microsoft,58346.2000000004,2009.4,3
Microsoft,58299.0000000001,2008.3,3
IBM,58254.5999999998,2007.6,3
Microsoft,58223.1999999999,2011.7,5
Google,58198.8000000007,2011.2,4
Microsoft,58191.6000000001,2012.2,5
Microsoft,58174.1000000001,2006.7,2
Microsoft,58132.0000000003,2005.6,2
Microsoft,58099.8000000001,2011.8,5
Samsung,58069.5,2017.5,6
Microsoft,58062.9999999998,2008.4,3
IBM,58060.5,2007.5,3
Microsoft,58022.2999999998,2012.1,5
Microsoft,57995.7999999998,2006.6,2
Microsoft,57976.3999999999,2011.9,5
Microsoft,57921.3999999998,2009.3,3
IBM,57866.4000000002,2007.4,3
Microsoft,57853.0,2012.0,5
Microsoft,57830.4999999999,2005.7,2
Microsoft,57827.0,2008.5,3
Microsoft,57817.5,2006.5,2
Samsung,57705.4000000003,2017.4,6
IBM,57672.2999999999,2007.3,3
Microsoft,57639.2000000002,2006.4,2
Microsoft,57591.0000000002,2008.6,3
Amazon,57567.0,2016.5,5
IBM,57538.0000000011,2015.6,5
Microsoft,57529.0000000001,2005.8,2
Microsoft,57496.6000000002,2009.2,3
IBM,57478.2000000001,2007.2,3
Microsoft,57460.8999999999,2006.3,2
Microsoft,57354.9999999999,2008.7,3
Samsung,57341.2999999998,2017.3,6
IBM,57284.0999999998,2007.1,3
Microsoft,57282.6000000001,2006.2,2
Microsoft,57227.4999999997,2005.9,2
Microsoft,57119.0000000001,2008.8,3
Microsoft,57104.2999999998,2006.1,2
IBM,57090.0,2007.0,3
Microsoft,57071.7999999996,2009.1,3
IBM,57001.1000000001,2006.9,3
Samsung,56977.2000000002,2017.2,6
Microsoft,56926.0,2006.0,2
IBM,56912.2,2006.8,3
Microsoft,56882.9999999998,2008.9,3
IBM,56823.3,2006.7,3
Google,56757.8999999987,2011.1,4
IBM,56734.3999999999,2006.6,3
Microsoft,56647.0,2009.0,3
IBM,56645.5,2006.5,3
Samsung,56613.0999999997,2017.1,6
IBM,56556.6000000001,2006.4,3
IBM,56467.7,2006.3,3
IBM,56378.8,2006.2,3
IBM,56289.8999999999,2006.1,3
IBM,56278.4999999994,2015.7,5
Samsung,56249.0,2017.0,6
IBM,56201.0,2006.0,3
Amazon,56121.2000000013,2016.4,5
IBM,55918.5000000003,2005.9,3
Samsung,55804.9000000004,2016.9,6
IBM,55635.9999999999,2005.8,3
Samsung,55360.7999999998,2016.8,6
IBM,55353.5000000001,2005.7,3
Google,55317.0,2011.0,4
IBM,55070.9999999997,2005.6,3
Apple,55030.0,2011.5,5
IBM,55019.0000000006,2015.8,5
Samsung,54916.7000000002,2016.7,6
IBM,54788.5,2005.5,3
Amazon,54675.3999999993,2016.3,5
IBM,54506.0000000003,2005.4,3
Samsung,54472.5999999996,2016.6,6
IBM,54223.4999999999,2005.3,3
Google,54141.0000000011,2010.9,4
Samsung,54028.5,2016.5,6
IBM,53941.0000000001,2005.2,3
IBM,53791.0,2004.0,3
IBM,53759.4999999989,2015.9,5
IBM,53749.5,2004.1,3
IBM,53708.0,2004.2,3
IBM,53666.5,2004.3,3
IBM,53658.4999999997,2005.1,3
IBM,53625.0,2004.4,3
IBM,53588.6000000002,2003.9,3
Samsung,53584.4000000004,2016.4,6
IBM,53583.5,2004.5,3
Toyota,53580.0,2016.0,5
IBM,53542.0,2004.6,3
IBM,53500.5,2004.7,3
IBM,53459.0,2004.8,3
IBM,53417.5,2004.9,3
Toyota,53404.0,2018.0,7
IBM,53386.1999999999,2003.8,3
IBM,53376.0,2005.0,3
Toyota,53251.1000000003,2016.1,5
Amazon,53229.6000000007,2016.2,5
IBM,53183.8000000001,2003.7,3
IBM,53183.0,2000.0,3
Samsung,53140.2999999998,2016.3,6
IBM,53139.9,2000.1,3
Toyota,53126.8000000004,2015.9,6
IBM,53096.8,2000.2,3
Toyota,53092.7000000003,2017.9,7
GE,53086.0,2008.0,4
IBM,53053.7,2000.3,3
IBM,53010.6,2000.4,3
IBM,52981.3999999998,2003.6,3
IBM,52967.5,2000.5,3
Google,52964.9999999995,2010.8,4
GE,52934.3000000001,2007.9,4
IBM,52924.4,2000.6,3
Toyota,52922.1999999999,2016.2,6
IBM,52881.3,2000.7,3
IBM,52838.2,2000.8,3
IBM,52795.1,2000.9,3
GE,52782.5999999999,2007.8,4
Toyota,52781.3999999999,2017.8,7
IBM,52779.0,2003.5,3
IBM,52752.0,2001.0,3
Samsung,52696.2000000002,2016.2,7
Toyota,52673.5999999998,2015.8,6
GE,52630.9000000001,2007.7,4
IBM,52595.6000000001,2001.1,3
Toyota,52593.3000000001,2016.3,7
IBM,52576.6000000002,2003.4,3
GE,52555.1000000005,2008.1,4
IBM,52500.0,2016.0,6
GE,52479.1999999999,2007.6,4
Toyota,52470.1000000001,2017.7,7
IBM,52439.1999999999,2001.2,3
IBM,52374.1999999999,2003.3,3
GE,52327.5,2007.5,4
IBM,52282.8000000001,2001.3,3
Toyota,52264.3999999997,2016.4,7
Samsung,52252.0999999996,2016.1,6
Toyota,52220.4000000002,2015.7,6
GE,52175.8000000001,2007.4,4
IBM,52171.8000000001,2003.2,3
Toyota,52158.7999999997,2017.6,7
IBM,52126.3999999999,2001.4,3
GE,52024.1999999998,2008.2,4
GE,52024.0999999999,2007.3,4
IBM,51970.0,2001.5,3
IBM,51969.3999999998,2003.1,3
Toyota,51935.5,2016.5,7
IBM,51932.9000000005,2016.1,7
GE,51872.4000000001,2007.2,4
Toyota,51847.5,2017.5,7
IBM,51813.6000000001,2001.6,3
Samsung,51808.0,2016.0,7
Google,51789.0000000005,2010.7,4
Amazon,51783.7999999987,2016.1,8
